combo_id,local,old_nombre,new_nombre,old_categoria,new_categoria,medida,colchon_id,colchon_nombre,box_id,box_nombre,fallback
628,Vidriera,combo sommier flow,conjunto colchon flow,dormitorio,conjuntos,1 plaza,211,colchon flow,218,box,0
629,Longchamps,combo sommier flow,conjunto colchon flow,dormitorio,conjuntos,1 plaza,118,colchon flow,94,box,0
630,Vidriera,combo sommier equis,conjunto colchon equis,dormitorio,conjuntos,1 plaza,215,colchon equis,218,box,0
631,Longchamps,combo sommier equis,conjunto colchon equis,dormitorio,conjuntos,1 plaza,104,colchon equis,94,box,0
598,Longchamps,combo sommier gold jackar pillow,conjunto colchon gold jackard con pillow,dormitorio,conjuntos,2 1/2 plazas,160,colchon gold jackard con pillow,96,box,0
591,Longchamps,conjunto real 20alto,conjunto colchon real 20alto,dormitorio,conjuntos,2plaza 1/2,112,colchon real 20alto,96,box,0
593,Longchamps,conjunto g.jackard c/pillow,conjunto colchon gold jackard con pillow,dormitorio,conjuntos,1 plaza,103,colchon gold jackard con pillow,94,box,0
594,Longchamps,conjunto g.jackard,conjunto colchon gold jackard sin pillow,dormitorio,conjuntos,1 plaza,102,colchon gold jackard sin pillow,94,box,0
599,Longchamps,combo sommier super lujo,conjunto colchones super lujo,dormitorio,conjuntos,1 plaza,101,colchones super lujo,94,box,0
601,Longchamps,combo sommier super lujo,conjunto colchon super lujo,dormitorio,conjuntos,2 plazas 1/2,115,colchon super lujo,96,box,0
602,Vidriera,combo sommier super lujo,conjunto colchon super lujo,dormitorio,conjuntos,2 plazas 1/2,236,colchon super lujo,256,box,0
657,Longchamps,combo sommier silver,conjunto colchon luxor,dormitorio,conjuntos,2 1/2 plazas,117,colchon luxor,96,box,0
656,Vidriera,combo sommier silver,conjunto colchon luxor,dormitorio,conjuntos,2 1/2 plazas,241,colchon luxor,256,box,0
611,Longchamps,conjunto silver,conjunto colchon silver,dormitorio,conjuntos,2 plazas 1/2,113,colchon silver,96,box,0
612,Vidriera,conjunto silver,conjunto colchon silver,dormitorio,conjuntos,2 plazas 1/2,233,colchon silver,256,box,0
603,Longchamps,conjunto palace c/pillow,conjunto colchon palace con pillow,dormitorio,conjuntos,1plaza,100,colchon palace con pillow,94,box,0
613,Longchamps,conjunto equis,conjunto colchon equis,dormitorio,conjuntos,1plaza,104,colchon equis,94,box,0
614,Vidriera,conjunto equis,conjunto colchon equis,dormitorio,conjuntos,1plaza,215,colchon equis,218,box,0
659,Vidriera,combo sommier quantium,conjunto colchon quantium,dormitorio,conjuntos,2 1/2 plazas,254,colchon quantium,256,box,0
606,Longchamps,conjunto palace s/pillow,conjunto colchon palace sin pillow,dormitorio,conjuntos,1 1/2 plaza,107,colchon palace sin pillow,95,box,0
660,Longchamps,combo sommier quantium,conjunto colchon quantium,dormitorio,conjuntos,2 1/2 plazas,119,colchon quantium,96,box,0
619,Longchamps,conjunto equis,conjunto colchon equis,dormitorio,conjuntos,2 plazas 1/2,159,colchon equis,96,box,0
607,Longchamps,conjunto palace,conjunto colchon palace sin pillow,dormitorio,conjuntos,2 plazas 1/2,114,colchon palace sin pillow,96,box,0
625,Vidriera,combo sommier gold jackar,conjunto colchon gold jackard,dormitorio,conjuntos,1 plaza,216,colchon gold jackard,218,box,0
635,Vidriera,combo sommier gold jackar pillow,conjunto colchon gold jackard con pillow,dormitorio,conjuntos,2 1/2 plazas,240,colchon gold jackard con pillow,256,box,0
623,Vidriera,combo sommier super lujo,conjunto colchon super lujo,dormitorio,conjuntos,1 plaza,217,colchon super lujo,218,box,0
632,Vidriera,combo sommier real,conjunto colchon real,dormitorio,conjuntos,2 1/2 plaza,232,colchon real,256,box,0
627,Vidriera,combo sommier silver,conjunto colchon palace doble pillow,dormitorio,conjuntos,1 plaza,214,colchon palace doble pillow,218,box,0
661,Vidriera,combo sommier ilusion,conjunto colchon ilusion,dormitorio,conjuntos,2 1/2 plazas,255,colchon ilusion,256,box,0
