new_nombre,old_nombre,old_present_now
bolsa de herramienta,bolso de herramientas,0
bordeadore electrica master,bordiadora electrica master,0
cajonera 6 cajones,cajonera 5 cajones,0
cajonera 6 cajones,cajonera 7 cajones,1
colchon eco 13alto,colchon eco 17alto,1
colchon extra 18alto,colchon exttra 13alto,0
colchon gold jackard sin pillow,colchon gold jackard con pillow,1
colchon palace con pillow,colchon palace sin pillow,1
colchon palace sin pillow,colchon palace con pillow,1
colchon standard 13alto,colchon estandar 13alto,0
colchon standard 13alto,colchon standard 17alto,0
colchon standard 17 alto,colchon standard 17alto,0
combo taladro + moladora,combo taladro+amoladora,0
"escobero dos puertas 1,80 de alto","escobero dos puertas 1,50 de alto",0
lavarropa semi automatico,lavarropas semi automatico,0
mesa de luz vintaje,mesa de luz vintage,1
placard dakar 10 puertas de abrir,placard darkar 12 puertas de abrir,1
placard darkar 12 puertas de abrir,placard darkar 10 puertas de abrir,0
placard darkar 12 puertas de abrir,placard darkar 8 puertas de abrir,1
placard darkar 8 puertas de abrir,placard darkar 10 puertas de abrir,0
placard darkar 8 puertas de abrir,placard darkar 12 puertas de abrir,1
placard darkar 8 puertas de abrir,placard darkar 6 puertas de abrir,1
placard millenium 22,placard millenium 23,1
placard millenium 22,placard millenium 24,1
placard millenium 22,placard millenium 26,1
placard millenium 23,placard millenium 26,1
placard millenium 24,placard millenium 22,1
placard millenium 24,placard millenium 26,1
reposeras 5 posiciones,reposera 5 posiciones,0
silla abby doble respaldo,silla aby doble respaldo,0
silla ella,silla ela,0
silla hindu eco,sillas hindu eco,0
tobogan 4 escalones,tobogan 2 escalones,1
tobogan 4 escalones,tobogan 3 escalones,0
tobogan 4 escalones,tobogan 5 escalones,1
tobogan 4 escalones,tobogan 6 escalones,0
"ventilador turbo 20""",ventilador turbo 20,0
