cluster,id,local,old_nombre,new_nombre,old_precio_venta,new_precio_venta,old_precio_costo,new_precio_costo,old_categoria,new_categoria,old_medida,new_medida,old_estado,new_estado,old_color,new_color,old_material,new_material,old_fabricante,new_fabricante,old_codigo,new_codigo,old_descripcion,new_descripcion,is_combo
4,197,Longchamps,tobogan 4 escalones,tobogan 4 escalones,228000.00,242000.0,0.00,0.0,infantil,infantil,,,Nuevo,Nuevo,,rosa,plastico,plastico,,,,,,,0
4,87,Estacion,tobogan 5 escalones,tobogan 4 escalones,242000.00,242000.0,0.00,0.0,infantil,infantil,,,Nuevo,Nuevo,amarillo,rosa,,plastico,,,,,,,0
4,198,Longchamps,tobogan 6 escalones,tobogan 4 escalones,242000.00,242000.0,0.00,0.0,infantil,infantil,,,Nuevo,Nuevo,,rosa,plastico,plastico,,,,,,,0
4,86,Estacion,tobogan 4 escalones,tobogan 4 escalones,228000.00,242000.0,0.00,0.0,infantil,infantil,,,Nuevo,Nuevo,rosa,rosa,,plastico,,,,,,,0
4,196,Longchamps,tobogan 3 escalones,tobogan 4 escalones,130000.00,242000.0,0.00,0.0,infantil,infantil,,,Nuevo,Nuevo,,rosa,plastico,plastico,,,,,,,0
4,318,Vidriera,tobogan 4 escalones,tobogan 4 escalones,228000.00,242000.0,0.00,0.0,infantil,infantil,,,Nuevo,Nuevo,,rosa,caño,plastico,,,,,,,0
4,382,Vidriera,tobogan 2 escalones,tobogan 4 escalones,110000.00,242000.0,0.00,0.0,infantil,infantil,,,Nuevo,Nuevo,rosa,rosa,plastico,plastico,,,,,,,0
11,294,Vidriera,silla abby doble respaldo,silla abby doble respaldo,100000.00,100000.0,0.00,0.0,dormitorio,dormitorio,,,Nuevo,Nuevo,,,caño,caño,seleccion muebles,seleccion muebles,,,,,0
11,683,Longchamps,silla aby doble respaldo,silla abby doble respaldo,100000.00,100000.0,0.00,0.0,dormitorio,dormitorio,,,Nuevo,Nuevo,,,caño,caño,seccion mueble,seleccion muebles,,,,,0
12,50,Estacion,toallero,toallero,32000.00,32000.0,0.00,0.0,baño,baño,60cm,60cm,Nuevo,Nuevo,,,,pino,machuca,machuca,,,,,0
12,184,Longchamps,toallero,toallero,32000.00,32000.0,0.00,0.0,baño,baño,60cm,60cm,Nuevo,Nuevo,,,pino,pino,machuca,machuca,,,,,0
12,733,Vidriera,toallero,toallero,32000.00,32000.0,0.00,0.0,baño,baño,60cm,60cm,Nuevo,Nuevo,,,pino,pino,machuca,machuca,,,,,0
13,388,Vidriera,toallero,toallero,44000.00,44000.0,0.00,0.0,baño,baño,1m,1m,Nuevo,Nuevo,,,pino,pino,machuca,machuca,,,,,0
13,186,Longchamps,toallero,toallero,44000.00,44000.0,0.00,0.0,baño,baño,1m,1m,Nuevo,Nuevo,,,pino,pino,machuca,machuca,,,,,0
14,3,Estacion,despensero,despensero,76500.00,76500.0,0.00,0.0,cocina,cocina,40cm,40cm,Nuevo,Nuevo,,,pino,pino,pinitos,pinitos,,,,,0
14,162,Longchamps,despensero,despensero,76500.00,76500.0,0.00,0.0,cocina,cocina,40cm,40cm,Nuevo,Nuevo,,,pino,pino,pinitos,pinitos,,,,,0
14,361,Vidriera,despensero,despensero,76500.00,76500.0,0.00,0.0,cocina,cocina,40cm,40cm,Nuevo,Nuevo,,,pino,pino,pinito,pinitos,,,,,0
20,91,Estacion,taburete,taburete,12500.00,12500.0,0.00,0.0,comedor,comedor,,,Nuevo,Nuevo,,,pino,pino,pinitos,pinitos,,,,,0
20,169,Longchamps,taburete,taburete,12500.00,12500.0,0.00,0.0,comedor,comedor,,,Nuevo,Nuevo,,,pino,pino,pinitos,pinitos,,,,,0
23,95,Longchamps,box,box,141000.00,141000.0,0.00,0.0,dormitorio,dormitorio,1 1/2 plaza,1 1/2 plaza,Nuevo,Nuevo,negro,negro,chenille,chenille,taurus,taurus,,,,,0
23,229,Vidriera,box,box,141000.00,141000.0,0.00,0.0,dormitorio,dormitorio,1 1/2 plaza,1 1/2 plaza,Nuevo,Nuevo,negro,negro,chenille,chenille,taurus,taurus,,,,,0
23,78,Estacion,box,box,141000.00,141000.0,0.00,0.0,dormitorio,dormitorio,1 1/2 plaza,1 1/2 plaza,Nuevo,Nuevo,,negro,,chenille,taurus,taurus,,,,,0
24,736,Longchamps,bicicleta niño,bicicleta niño,241000.00,241000.0,0.00,0.0,infantil,infantil,"rodado 16""","rodado 16""",Nuevo,Nuevo,violeta,violeta,,,twin,twin,,,,,0
24,516,Vidriera,bicicleta niño,bicicleta niño,241000.00,241000.0,0.00,0.0,infantil,infantil,"Rodado 16""","rodado 16""",Nuevo,Nuevo,violeta,violeta,,,twin,twin,,,,,0
25,811,Longchamps,desmalezadora,desmalezadora,160000.00,160000.0,0.00,0.0,herramientas,herramientas,,,Nuevo,Nuevo,naranja,naranja,,,kld,kld,,,,,0
25,426,Vidriera,desmalezadora,desmalezadora,160000.00,160000.0,0.00,0.0,herramientas,herramientas,,,Nuevo,Nuevo,naranja,naranja,,,kld,kld,,,,,0
32,119,Longchamps,colchon quantium,colchon quantium,970000.00,970000.0,0.00,0.0,dormitorio,dormitorio,2 1/2 plazas,2 1/2 plazas,Nuevo,Nuevo,,,resorte,resorte,taurus,taurus,,,,,0
32,254,Vidriera,colchon quantium,colchon quantium,970000.00,970000.0,0.00,0.0,dormitorio,dormitorio,2 1/2 plazas,2 1/2 plazas,Nuevo,Nuevo,,,resortes,resorte,taurus,taurus,,,,,0
36,256,Vidriera,box,box,159000.00,159000.0,0.00,0.0,dormitorio,dormitorio,2 1/2 plazas,2 1/2 plazas,Nuevo,Nuevo,negro,negro,chenille,chenille,taurus,taurus,,,,,0
36,96,Longchamps,box,box,159000.00,159000.0,0.00,0.0,dormitorio,dormitorio,2 1/2 plazas,2 1/2 plazas,Nuevo,Nuevo,negro,negro,chenille,chenille,taurus,taurus,,,,,0
37,165,Longchamps,modular,modular,114000.00,114000.0,0.00,0.0,living,living,"1,20m","1,20m",Nuevo,Nuevo,,,pino,pino,pinitos,pinitos,,,,,0
37,359,Vidriera,modular,modular,114000.00,114000.0,0.00,0.0,living,living,"1,20m","1,20m",Nuevo,Nuevo,,,pino,pino,pinito,pinitos,,,,,0
38,235,Vidriera,colchon palace con pillow,colchon palace sin pillow,375000.00,375000.0,0.00,0.0,dormitorio,dormitorio,2 1/2 plazas,2 1/2 plazas,Nuevo,Nuevo,,,resorte,resorte,taurus,taurus,,,,,0
38,114,Longchamps,colchon palace sin pillow,colchon palace sin pillow,315000.00,375000.0,0.00,0.0,dormitorio,dormitorio,2 1/2 plazas,2 1/2 plazas,Nuevo,Nuevo,,,resorte,resorte,taurus,taurus,,,,,0
38,234,Vidriera,colchon palace sin pillow,colchon palace sin pillow,315000.00,375000.0,0.00,0.0,dormitorio,dormitorio,2 1/2 plazas,2 1/2 plazas,Nuevo,Nuevo,,,resorte,resorte,taurus,taurus,,,,,0
39,53,Estacion,"ventilador turbo 20""","ventilador turbo 20""",39000.00,39000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,,,paleta plastica,paleta plastica,star track,star track,STTG31-20,STTG31-20,,,0
39,200,Longchamps,ventilador turbo 20,"ventilador turbo 20""",39000.00,39000.0,0.00,0.0,electrodomesticos,electrodomesticos,,,Nuevo,Nuevo,,,paleta plastica,paleta plastica,,star track,,STTG31-20,,,0
44,188,Longchamps,vestidor,vestidor,53000.00,53000.0,0.00,0.0,dormitorio,dormitorio,"1,40m","1,40m",Nuevo,Nuevo,,,pino,pino,machuca,machuca,,,,,0
44,548,Vidriera,vestidor,vestidor,53000.00,53000.0,0.00,0.0,dormitorio,dormitorio,"1,40m","1,40m",Nuevo,Nuevo,,,pino,pino,machuca,machuca,,,,,0
45,185,Longchamps,toallero,toallero,38000.00,38000.0,0.00,0.0,baño,baño,80cm,80cm,Nuevo,Nuevo,,,pino,pino,machuca,machuca,,,,,0
