deleted_id,deleted_local,deleted_nombre,deleted_medida,deleted_precio_venta,candidate_rank,candidate_id,candidate_nombre,candidate_local,candidate_medida,candidate_precio_venta,name_sim,medida_match
615,Longchamps,conjunto flow,1plaza,240000.00,1,613,conjunto equis,Longchamps,1plaza,374000.0,0.667,1
615,Longchamps,conjunto flow,1plaza,240000.00,2,614,conjunto equis,Vidriera,1plaza,374000.0,0.667,1
615,Longchamps,conjunto flow,1plaza,240000.00,3,603,conjunto palace c/pillow,Longchamps,1plaza,346000.0,0.649,1
616,Vidriera,conjunto flow,1plaza,240000.00,1,613,conjunto equis,Longchamps,1plaza,374000.0,0.667,1
616,Vidriera,conjunto flow,1plaza,240000.00,2,614,conjunto equis,Vidriera,1plaza,374000.0,0.667,1
616,Vidriera,conjunto flow,1plaza,240000.00,3,603,conjunto palace c/pillow,Longchamps,1plaza,346000.0,0.649,1
634,Vidriera,combo sommier gold jackar,2 1/2 plazas,540000.00,1,598,combo sommier gold jackar pillow,Longchamps,2 1/2 plazas,605000.0,0.877,1
634,Vidriera,combo sommier gold jackar,2 1/2 plazas,540000.00,2,635,combo sommier gold jackar pillow,Vidriera,2 1/2 plazas,605000.0,0.877,1
634,Vidriera,combo sommier gold jackar,2 1/2 plazas,540000.00,3,625,combo sommier gold jackar,Vidriera,1 plaza,370000.0,1.0,0
640,Vidriera,combo sommier super lujo,2 1/2 plazas,440000.00,1,601,combo sommier super lujo,Longchamps,2 plazas 1/2,580000.0,1.0,1
640,Vidriera,combo sommier super lujo,2 1/2 plazas,440000.00,2,602,combo sommier super lujo,Vidriera,2 plazas 1/2,580000.0,1.0,1
640,Vidriera,combo sommier super lujo,2 1/2 plazas,440000.00,3,599,combo sommier super lujo,Longchamps,1 plaza,310000.0,1.0,0
658,Vidriera,combo sommier super lujo plus,2 1/2 plazas,580000.00,1,601,combo sommier super lujo,Longchamps,2 plazas 1/2,580000.0,0.906,1
658,Vidriera,combo sommier super lujo plus,2 1/2 plazas,580000.00,2,602,combo sommier super lujo,Vidriera,2 plazas 1/2,580000.0,0.906,1
658,Vidriera,combo sommier super lujo plus,2 1/2 plazas,580000.00,3,599,combo sommier super lujo,Longchamps,1 plaza,310000.0,0.906,0
608,Longchamps,conjunto luxor,2 plazas 1/2,618000.00,1,611,conjunto silver,Longchamps,2 plazas 1/2,385000.0,0.759,1
608,Longchamps,conjunto luxor,2 plazas 1/2,618000.00,2,612,conjunto silver,Vidriera,2 plazas 1/2,385000.0,0.759,1
608,Longchamps,conjunto luxor,2 plazas 1/2,618000.00,3,619,conjunto equis,Longchamps,2 plazas 1/2,540000.0,0.714,1
609,Vidriera,conjunto luxor,2 plazas 1/2,618000.00,1,611,conjunto silver,Longchamps,2 plazas 1/2,385000.0,0.759,1
609,Vidriera,conjunto luxor,2 plazas 1/2,618000.00,2,612,conjunto silver,Vidriera,2 plazas 1/2,385000.0,0.759,1
609,Vidriera,conjunto luxor,2 plazas 1/2,618000.00,3,619,conjunto equis,Longchamps,2 plazas 1/2,540000.0,0.714,1
654,Vidriera,combo sommier silver,2 1/2 plazas,385000.00,1,657,combo sommier silver,Longchamps,2 1/2 plazas,618000.0,1.0,1
654,Vidriera,combo sommier silver,2 1/2 plazas,385000.00,2,656,combo sommier silver,Vidriera,2 1/2 plazas,618000.0,1.0,1
654,Vidriera,combo sommier silver,2 1/2 plazas,385000.00,3,627,combo sommier silver,Vidriera,1 plaza,346000.0,1.0,0
655,Longchamps,combo sommier silver,2 1/2 plazas,385000.00,1,657,combo sommier silver,Longchamps,2 1/2 plazas,618000.0,1.0,1
655,Longchamps,combo sommier silver,2 1/2 plazas,385000.00,2,656,combo sommier silver,Vidriera,2 1/2 plazas,618000.0,1.0,1
655,Longchamps,combo sommier silver,2 1/2 plazas,385000.00,3,627,combo sommier silver,Vidriera,1 plaza,346000.0,1.0,0
652,Vidriera,combo sommier palace,2 1/2 plazas,445000.00,1,632,combo sommier real,Vidriera,2 1/2 plaza,367000.0,0.842,1
652,Vidriera,combo sommier palace,2 1/2 plazas,445000.00,2,657,combo sommier silver,Longchamps,2 1/2 plazas,618000.0,0.8,1
652,Vidriera,combo sommier palace,2 1/2 plazas,445000.00,3,656,combo sommier silver,Vidriera,2 1/2 plazas,618000.0,0.8,1
653,Vidriera,combo sommier palace pillow,2 1/2 plazas,500000.00,1,598,combo sommier gold jackar pillow,Longchamps,2 1/2 plazas,605000.0,0.814,1
653,Vidriera,combo sommier palace pillow,2 1/2 plazas,500000.00,2,635,combo sommier gold jackar pillow,Vidriera,2 1/2 plazas,605000.0,0.814,1
653,Vidriera,combo sommier palace pillow,2 1/2 plazas,500000.00,3,632,combo sommier real,Vidriera,2 1/2 plaza,367000.0,0.711,1
624,Vidriera,combo sommier silver,1 plaza,271000.00,1,627,combo sommier silver,Vidriera,1 plaza,346000.0,1.0,1
624,Vidriera,combo sommier silver,1 plaza,271000.00,2,657,combo sommier silver,Longchamps,2 1/2 plazas,618000.0,1.0,0
624,Vidriera,combo sommier silver,1 plaza,271000.00,3,656,combo sommier silver,Vidriera,2 1/2 plazas,618000.0,1.0,0
626,Vidriera,combo sommier palace,1 plaza,310000.00,1,627,combo sommier silver,Vidriera,1 plaza,346000.0,0.8,1
626,Vidriera,combo sommier palace,1 plaza,310000.00,2,628,combo sommier flow,Vidriera,1 plaza,240000.0,0.789,1
626,Vidriera,combo sommier palace,1 plaza,310000.00,3,629,combo sommier flow,Longchamps,1 plaza,240000.0,0.789,1
