id,local,nombre,cantidad,accion
294,Vidriera,silla abby doble respaldo,6,update
683,Longchamps,silla aby doble respaldo,12,update
235,Vidriera,colchon palace con pillow,2,insert
114,Longchamps,colchon palace sin pillow,1,update
234,Vidriera,colchon palace sin pillow,2,update
102,Longchamps,colchon gold jackard sin pillow,9,update
79,Estacion,colchon gold jackard sin pillow,1,update
160,Longchamps,colchon gold jackard con pillow,2,insert
240,Vidriera,colchon gold jackard con pillow,1,update
219,Vidriera,colchon eco 17alto,2,insert
105,Longchamps,colchon eco 17alto,1,update
230,Vidriera,colchon eco 17alto,1,update
418,Vidriera,combo taladro + moladora,1,update
703,Longchamps,combo taladro+amoladora,1,update
242,Longchamps,lavarropa semi automatico,8,update
643,Estacion,lavarropas semi automatico,1,update
664,Vidriera,lavarropa semi automatico,2,update
316,Vidriera,reposeras 5 posiciones,3,update
33,Estacion,reposera 5 posiciones,6,update
487,Longchamps,placard millenium 22,1,insert
202,Longchamps,placard millenium 24,1,insert
486,Longchamps,placard millenium 23,2,insert
491,Longchamps,placard millenium 26,1,update
56,Estacion,cajonera 6 cajones,1,update
22,Estacion,cajonera 7 cajones,1,insert
137,Longchamps,cajonera 6 cajones,5,insert
136,Longchamps,cajonera 5 cajones,5,insert
138,Longchamps,cajonera 7 cajones,3,update
374,Vidriera,cajonera 6 cajones,2,insert
375,Vidriera,cajonera 7 cajones,1,insert
376,Vidriera,cajonera 5 cajones,1,update
65,Estacion,colchon standard 13alto,3,insert
98,Longchamps,colchon estandar 13alto,1,update
209,Vidriera,colchon standard 17alto,1,update
207,Vidriera,colchon standard 13alto,2,insert
66,Estacion,colchon standard 17alto,1,update
68,Estacion,colchon eco 17alto,1,update
67,Estacion,colchon eco 13alto,1,insert
97,Longchamps,colchon eco 13alto,6,update
205,Vidriera,colchon eco 13alto,3,insert
206,Vidriera,colchon eco 17alto,1,update
69,Estacion,colchon palace sin pillow,1,insert
100,Longchamps,colchon palace con pillow,1,update
70,Estacion,colchon palace con pillow,1,update
76,Estacion,colchon standard 17 alto,2,update
220,Vidriera,colchon standard 17alto,2,update
108,Longchamps,colchon palace con pillow,1,insert
107,Longchamps,colchon palace sin pillow,1,update
224,Vidriera,colchon palace sin pillow,1,update
203,Longchamps,placard millenium 24,1,insert
489,Longchamps,placard millenium 26,1,insert
496,Longchamps,placard millenium 22,1,update
467,Longchamps,placard darkar 12 puertas de abrir,1,insert
481,Longchamps,placard darkar 8 puertas de abrir,1,update
478,Longchamps,placard darkar 10 puertas de abrir,1,insert
477,Longchamps,placard dakar 10 puertas de abrir,2,update
469,Longchamps,placard darkar 12 puertas de abrir,1,insert
480,Longchamps,placard darkar 8 puertas de abrir,2,insert
483,Longchamps,placard darkar 6 puertas de abrir,1,update
468,Longchamps,placard darkar 12 puertas de abrir,1,insert
479,Longchamps,placard darkar 10 puertas de abrir,1,insert
485,Longchamps,placard millenium 23,3,insert
488,Longchamps,placard millenium 26,1,update
125,Longchamps,silla hindu eco,25,update
291,Vidriera,sillas hindu eco,1,insert
647,Vidriera,silla hindu eco,4,update
297,Vidriera,silla ella,6,update
556,Estacion,silla ela,6,update
645,Longchamps,silla ella,12,update
524,Longchamps,"escobero dos puertas 1,80 de alto",1,insert
533,Longchamps,"escobero dos puertas 1,50 de alto",1,update
