score,nombre1,nombre2,local1,local2,diff_campos,medida1,medida2,precio_venta1,precio_venta2,color1,color2
0.9944,colchon standard 17 alto,colchon standard 17alto,Estacion,Vidriera,,1 1/2 plaza,1 1/2 plaza,105000.00,105000.00,,
0.9923,placard darkar 12 puertas de abrir,placard darkar 10 puertas de abrir,Longchamps,Longchamps,precio_venta,,,656000.00,569000.00,avellana,avellana
0.9923,placard darkar 12 puertas de abrir,placard darkar 10 puertas de abrir,Longchamps,Longchamps,precio_venta,,,656000.00,569000.00,malta,malta
0.9921,placard darkar 8 puertas de abrir,placard darkar 6 puertas de abrir,Longchamps,Longchamps,precio_venta,,,478000.00,409000.00,malta,malta
0.9904,conjunto colchones super lujo,conjunto colchon super lujo,Longchamps,Vidriera,,1 plaza,1 plaza,310000.00,310000.00,,
0.9887,colchon estandar 13alto,colchon standard 13alto,Longchamps,Estacion,,1 plaza,1 plaza,65000.00,65000.00,,
0.9887,colchon estandar 13alto,colchon standard 13alto,Longchamps,Vidriera,,1 plaza,1 plaza,65000.00,65000.00,,
0.9887,colchon standard 17alto,colchon standard 13alto,Vidriera,Estacion,precio_venta,1 plaza,1 plaza,79000.00,65000.00,,
0.9887,colchon standard 17alto,colchon standard 13alto,Vidriera,Vidriera,precio_venta,1 plaza,1 plaza,79000.00,65000.00,,
0.9887,colchon standard 17alto,colchon standard 13alto,Estacion,Estacion,precio_venta,1 plaza,1 plaza,79000.00,65000.00,,
0.9887,colchon standard 17alto,colchon standard 13alto,Estacion,Vidriera,precio_venta,1 plaza,1 plaza,79000.00,65000.00,,
0.9883,placard darkar 12 puertas de abrir,placard darkar 8 puertas de abrir,Longchamps,Longchamps,precio_venta,,,656000.00,478000.00,avellana,avellana
0.9883,placard darkar 10 puertas de abrir,placard darkar 8 puertas de abrir,Longchamps,Longchamps,precio_venta,,,569000.00,478000.00,avellana,avellana
0.9883,placard darkar 12 puertas de abrir,placard dakar 10 puertas de abrir,Longchamps,Longchamps,precio_venta,,,656000.00,569000.00,venezia,venezia
0.9883,placard darkar 8 puertas de abrir,placard darkar 12 puertas de abrir,Longchamps,Longchamps,precio_venta,,,478000.00,656000.00,malta,malta
0.9883,placard darkar 8 puertas de abrir,placard darkar 10 puertas de abrir,Longchamps,Longchamps,precio_venta,,,478000.00,569000.00,malta,malta
0.9883,placard darkar 12 puertas de abrir,placard darkar 6 puertas de abrir,Longchamps,Longchamps,precio_venta,,,656000.00,409000.00,malta,malta
0.9883,placard darkar 10 puertas de abrir,placard darkar 6 puertas de abrir,Longchamps,Longchamps,precio_venta,,,569000.00,409000.00,malta,malta
0.987,placard millenium 22,placard millenium 24,Longchamps,Longchamps,precio_venta,,,158000.00,302000.00,bambu,bambu
0.987,placard millenium 22,placard millenium 23,Longchamps,Longchamps,precio_venta,,,158000.00,222100.00,bambu,bambu
0.987,placard millenium 22,placard millenium 26,Longchamps,Longchamps,precio_venta,,,158000.00,409000.00,bambu,bambu
0.987,placard millenium 24,placard millenium 23,Longchamps,Longchamps,precio_venta,,,302000.00,222100.00,bambu,bambu
0.987,placard millenium 24,placard millenium 26,Longchamps,Longchamps,precio_venta,,,302000.00,409000.00,bambu,bambu
0.987,placard millenium 23,placard millenium 26,Longchamps,Longchamps,precio_venta,,,222100.00,409000.00,bambu,bambu
0.987,placard millenium 24,placard millenium 26,Longchamps,Longchamps,precio_venta,,,302000.00,409000.00,blanco,blanco
0.987,placard millenium 24,placard millenium 22,Longchamps,Longchamps,precio_venta,,,302000.00,158000.00,blanco,blanco
0.987,placard millenium 26,placard millenium 22,Longchamps,Longchamps,precio_venta,,,409000.00,158000.00,blanco,blanco
0.987,placard millenium 23,placard millenium 26,Longchamps,Longchamps,precio_venta,,,222100.00,409000.00,green,green
0.9863,tobogan 4 escalones,tobogan 2 escalones,Longchamps,Vidriera,precio_venta,,,228000.00,110000.00,rosa,rosa
0.9863,tobogan 5 escalones,tobogan 4 escalones,Longchamps,Longchamps,precio_venta,,,242000.00,228000.00,amarillo,amarillo
0.9863,tobogan 5 escalones,tobogan 4 escalones,Longchamps,Longchamps,precio_venta,,,242000.00,228000.00,verde,verde
0.9863,silla abby doble respaldo,silla aby doble respaldo,Vidriera,Longchamps,fabricante,,,100000.00,100000.00,,
0.986,conjunto colchon gold jackard con pillow,conjunto colchon gold jackard sin pillow,Longchamps,Longchamps,precio_venta,1 plaza,1 plaza,415000.00,370000.00,,
0.9855,colchon eco 17alto,colchon eco 13alto,Estacion,Longchamps,precio_venta,1 plaza,1 plaza,69000.00,53000.00,,
0.9855,colchon eco 17alto,colchon eco 13alto,Estacion,Estacion,precio_venta,1 plaza,1 plaza,69000.00,53000.00,,
0.9855,colchon eco 17alto,colchon eco 13alto,Estacion,Vidriera,precio_venta,1 plaza,1 plaza,69000.00,53000.00,,
0.9855,colchon eco 13alto,colchon eco 17alto,Longchamps,Vidriera,precio_venta,1 plaza,1 plaza,53000.00,69000.00,,
0.9855,colchon eco 17alto,colchon eco 13alto,Vidriera,Estacion,precio_venta,1 plaza,1 plaza,69000.00,53000.00,,
0.9855,colchon eco 17alto,colchon eco 13alto,Vidriera,Vidriera,precio_venta,1 plaza,1 plaza,69000.00,53000.00,,
0.9855,cajonera 6 cajones,cajonera 7 cajones,Estacion,Estacion,precio_venta,,,59000.00,65000.00,,
0.9855,cajonera 6 cajones,cajonera 5 cajones,Estacion,Longchamps,precio_venta,,,59000.00,52000.00,,
0.9855,cajonera 6 cajones,cajonera 7 cajones,Estacion,Longchamps,precio_venta,,,59000.00,65000.00,,
0.9855,cajonera 6 cajones,cajonera 7 cajones,Estacion,Vidriera,precio_venta,,,59000.00,65000.00,,
0.9855,cajonera 6 cajones,cajonera 5 cajones,Estacion,Vidriera,precio_venta,,,59000.00,52000.00,,
0.9855,cajonera 7 cajones,cajonera 6 cajones,Estacion,Longchamps,precio_venta,,,65000.00,59000.00,,
0.9855,cajonera 7 cajones,cajonera 5 cajones,Estacion,Longchamps,precio_venta,,,65000.00,52000.00,,
0.9855,cajonera 7 cajones,cajonera 6 cajones,Estacion,Vidriera,precio_venta,,,65000.00,59000.00,,
0.9855,cajonera 7 cajones,cajonera 5 cajones,Estacion,Vidriera,precio_venta,,,65000.00,52000.00,,
0.9855,cajonera 6 cajones,cajonera 5 cajones,Longchamps,Longchamps,precio_venta,,,59000.00,52000.00,,
0.9855,cajonera 6 cajones,cajonera 7 cajones,Longchamps,Longchamps,precio_venta,,,59000.00,65000.00,,
0.9855,cajonera 6 cajones,cajonera 7 cajones,Longchamps,Vidriera,precio_venta,,,59000.00,65000.00,,
0.9855,cajonera 6 cajones,cajonera 5 cajones,Longchamps,Vidriera,precio_venta,,,59000.00,52000.00,,
0.9855,cajonera 5 cajones,cajonera 7 cajones,Longchamps,Longchamps,precio_venta,,,52000.00,65000.00,,
0.9855,cajonera 5 cajones,cajonera 6 cajones,Longchamps,Vidriera,precio_venta,,,52000.00,59000.00,,
0.9855,cajonera 5 cajones,cajonera 7 cajones,Longchamps,Vidriera,precio_venta,,,52000.00,65000.00,,
0.9855,cajonera 7 cajones,cajonera 6 cajones,Longchamps,Vidriera,precio_venta,,,65000.00,59000.00,,
0.9855,cajonera 7 cajones,cajonera 5 cajones,Longchamps,Vidriera,precio_venta,,,65000.00,52000.00,,
0.9855,cajonera 6 cajones,cajonera 7 cajones,Vidriera,Vidriera,precio_venta,,,59000.00,65000.00,,
0.9855,cajonera 6 cajones,cajonera 5 cajones,Vidriera,Vidriera,precio_venta,,,59000.00,52000.00,,
0.9855,cajonera 7 cajones,cajonera 5 cajones,Vidriera,Vidriera,precio_venta,,,65000.00,52000.00,,
0.9832,colchon gold jackard sin pillow,colchon gold jackard con pillow,Longchamps,Longchamps,precio_venta,2 1/2 plazas,2 1/2 plazas,410000.00,480000.00,,
0.9832,colchon gold jackard con pillow,colchon gold jackard sin pillow,Longchamps,Estacion,precio_venta,2 1/2 plazas,2 1/2 plazas,480000.00,410000.00,,
0.9816,colchon eco 17alto,colchon eco 17 alto,Longchamps,Longchamps,"medida,precio_venta",1 1/2 plaza,2 1/2 plazas,86000.00,114000.00,,
0.9816,colchon eco 17 alto,colchon eco 17alto,Longchamps,Vidriera,"medida,precio_venta",2 1/2 plazas,1 1/2 plaza,114000.00,86000.00,,
0.9791,colchon palace con pillow,colchon palace sin pillow,Longchamps,Estacion,precio_venta,1 plaza,1 plaza,245000.00,210000.00,,
0.9791,colchon palace con pillow,colchon palace sin pillow,Estacion,Estacion,precio_venta,1 plaza,1 plaza,245000.00,210000.00,,
0.9791,colchon palace sin pillow,colchon palace con pillow,Longchamps,Vidriera,precio_venta,2 1/2 plazas,2 1/2 plazas,315000.00,375000.00,,
0.9791,colchon palace con pillow,colchon palace sin pillow,Vidriera,Vidriera,precio_venta,2 1/2 plazas,2 1/2 plazas,375000.00,315000.00,,
0.9773,colchon estandar 13alto,colchon standard 17alto,Longchamps,Vidriera,precio_venta,1 plaza,1 plaza,65000.00,79000.00,,
0.9773,colchon estandar 13alto,colchon standard 17alto,Longchamps,Estacion,precio_venta,1 plaza,1 plaza,65000.00,79000.00,,
0.9765,colchon gold jackard sin pillow,colchon gold jackard con pillow,Longchamps,Vidriera,"fabricante,precio_venta",2 1/2 plazas,2 1/2 plazas,410000.00,480000.00,,
0.9765,colchon gold jackard sin pillow,colchon gold jackard con pillow,Estacion,Vidriera,"fabricante,precio_venta",2 1/2 plazas,2 1/2 plazas,410000.00,480000.00,,
0.9751,colchon standard 17alto,colchon standard 17 alto,Vidriera,Estacion,"medida,precio_venta",1 plaza,1 1/2 plaza,79000.00,105000.00,,
0.9751,colchon standard 17alto,colchon standard 17 alto,Estacion,Estacion,"medida,precio_venta",1 plaza,1 1/2 plaza,79000.00,105000.00,,
